model_name,joint_score_test,choice_only_score_test,rt_only_cond_score_test,n_trials_test,score_seed
ddm_dnm,4654.36350310496,1431.8056431755151,3222.557859929445,118,12000
cont_asymptote,4764.864310066951,1635.5793341179092,3129.284975949041,118,10000
cont_threshold,5040.817002756636,1883.2340782383508,3157.5829245182845,118,11000
