model_name,joint_score_test,choice_only_score_test,rt_only_cond_score_test,n_trials_test,score_seed
cont_asymptote,4090.2060267461256,1638.764502245625,2451.4415245005002,118,10000
ddm_dnm,4654.36350310496,1431.8056431755151,3222.557859929445,118,12000
cont_threshold,4963.724677238854,2195.183550660612,2768.5411265782423,118,11000
