participant_id,candidate_model_name,fit_seed,n_train_trials,n_test_trials,n_parameters,n_evaluations,fit_n_starts,fit_n_iterations,best_joint_score_train,best_choice_only_score_train,best_rt_only_cond_score_train,best_theta,best_eta,best_named_params,best_model_params
P01,cont_threshold,0,111,38,6,1,1,0,2610.362232401374,27.72996807406187,2582.632264327312,"__JSON__::[8.017729077296117,7.058623788783116,9.857250026491407,7.940395008686149,369.1955702541144,4.797526676297866]","__JSON__::[0.1257302210933933,-0.1321048632913019,0.6404226504432821,0.10490011715303971,-0.535669373161111,0.36159505490948474]","__JSON__::{""thr_b1"":8.017729077296117,""thr_b2"":7.058623788783116,""thr_b3"":9.857250026491407,""thr_b4"":7.940395008686149,""t0"":369.1955702541144,""g"":4.797526676297866}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":369.1955702541144,""noise_gain"":4.797526676297866,""threshold_mode"":""participant_block_mean_abs_belief"",""threshold_by_block_sidecar"":{""1"":8.017729077296117,""2"":7.058623788783116,""3"":9.857250026491407,""4"":7.940395008686149},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""thr_b1"",""thr_b2"",""thr_b3"",""thr_b4""],""block_params_used_in_scoring"":false}"
P01,cont_asymptote,10007,111,38,6,1,1,0,2733.331021268184,74.20737532627211,2659.123645941912,"__JSON__::[9.664179138880657,9.094317786461684,7.236806622806814,6.073861612891173,655.5016543923521,4.351632688291699]","__JSON__::[0.5835820436647231,0.4206780464053155,-0.08412834262759718,-0.40159031528194494,0.6433115389216308,0.1292219200792997]","__JSON__::{""asy_b1"":9.664179138880657,""asy_b2"":9.094317786461684,""asy_b3"":7.236806622806814,""asy_b4"":6.073861612891173,""t0"":655.5016543923521,""g"":4.351632688291699}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":655.5016543923521,""noise_gain"":4.351632688291699,""threshold_mode"":""participant_block_mean_abs_belief"",""asymptote_by_block_sidecar"":{""1"":9.664179138880657,""2"":9.094317786461684,""3"":7.236806622806814,""4"":6.073861612891173},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""asy_b1"",""asy_b2"",""asy_b3"",""asy_b4""],""block_params_used_in_scoring"":false}"
P01,ddm_dnm,20014,111,38,4,1,1,0,5941.10032284073,2874.0569789726605,3067.043343868068,"__JSON__::[1.4299858902187517,550.4205579995111,-4.775586484984617,-0.5955400214327167]","__JSON__::[-0.7369086911276526,0.20237006449197842,-2.1748210985693066,-0.19916913163785852]","__JSON__::{""a"":1.4299858902187517,""t0"":550.4205579995111,""k_v"":-4.775586484984617,""k_z"":-0.5955400214327167}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""boundary_a"":1.4299858902187517,""non_decision_time_ms"":550.4205579995111,""llr_to_drift_scale"":-4.775586484984617,""start_k"":-0.5955400214327167,""diffusion_sigma"":1.0}"
P02,cont_threshold,1000003,107,40,6,1,1,0,4871.4921417402375,2078.330120822983,2793.1620209172547,"__JSON__::[6.966254888321054,11.35209335925965,6.10621434043114,10.811053482594103,368.4720846078613,1.3582050837517066]","__JSON__::[-0.15703199162098297,1.1264007077367122,-0.3925581357149643,0.9388269695160533,-0.5387771910671988,-1.7465107805153517]","__JSON__::{""thr_b1"":6.966254888321054,""thr_b2"":11.35209335925965,""thr_b3"":6.10621434043114,""thr_b4"":10.811053482594103,""t0"":368.4720846078613,""g"":1.3582050837517066}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":368.4720846078613,""noise_gain"":1.3582050837517066,""threshold_mode"":""participant_block_mean_abs_belief"",""threshold_by_block_sidecar"":{""1"":6.966254888321054,""2"":11.35209335925965,""3"":6.10621434043114,""4"":10.811053482594103},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""thr_b1"",""thr_b2"",""thr_b3"",""thr_b4""],""block_params_used_in_scoring"":false}"
P02,cont_asymptote,1010010,107,40,6,1,1,0,1861.9982919725621,0.05129329438755058,1861.9469986781746,"__JSON__::[11.31696967311367,9.123075288543033,4.915361549853365,5.243598889343462,228.43440180223882,2.4568468229820613]","__JSON__::[1.1136919092874726,0.42875160020909436,-0.7392021898389063,-0.640170586277624,-1.2171726077264802,-0.8985948763715474]","__JSON__::{""asy_b1"":11.31696967311367,""asy_b2"":9.123075288543033,""asy_b3"":4.915361549853365,""asy_b4"":5.243598889343462,""t0"":228.43440180223882,""g"":2.4568468229820613}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":228.43440180223882,""noise_gain"":2.4568468229820613,""threshold_mode"":""participant_block_mean_abs_belief"",""asymptote_by_block_sidecar"":{""1"":11.31696967311367,""2"":9.123075288543033,""3"":4.915361549853365,""4"":5.243598889343462},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""asy_b1"",""asy_b2"",""asy_b3"",""asy_b4""],""block_params_used_in_scoring"":false}"
P02,ddm_dnm,1020017,107,40,4,1,1,0,2103.2297541153657,0.3191727395431518,2102.9105813758224,"__JSON__::[0.9477444378781636,361.38302421905047,1.5722055937516126,1.1751196547574185]","__JSON__::[-1.4065748658449773,-0.5693664579572095,0.5365828014390752,0.39683350255787764]","__JSON__::{""a"":0.9477444378781636,""t0"":361.38302421905047,""k_v"":1.5722055937516126,""k_z"":1.1751196547574185}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""boundary_a"":0.9477444378781636,""non_decision_time_ms"":361.38302421905047,""llr_to_drift_scale"":1.5722055937516126,""start_k"":1.1751196547574185,""diffusion_sigma"":1.0}"
P03,cont_threshold,2000006,120,40,6,1,1,0,4927.170494976255,1940.9819889418093,2986.1885060344466,"__JSON__::[12.4760152893332,5.689613120602931,4.413421628882043,7.1386837929174805,290.308107826739,5.6501014016885325]","__JSON__::[1.589921461591732,-0.5102205701002078,-0.8978555368467689,-0.11053285733647539,-0.8938881213926227,0.8412620367460761]","__JSON__::{""thr_b1"":12.4760152893332,""thr_b2"":5.689613120602931,""thr_b3"":4.413421628882043,""thr_b4"":7.1386837929174805,""t0"":290.308107826739,""g"":5.6501014016885325}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":290.308107826739,""noise_gain"":5.6501014016885325,""threshold_mode"":""participant_block_mean_abs_belief"",""threshold_by_block_sidecar"":{""1"":12.4760152893332,""2"":5.689613120602931,""3"":4.413421628882043,""4"":7.1386837929174805},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""thr_b1"",""thr_b2"",""thr_b3"",""thr_b4""],""block_params_used_in_scoring"":false}"
P03,cont_asymptote,2010013,120,40,6,1,1,0,2224.9332306075016,87.5685949752541,2137.364635632247,"__JSON__::[5.010483906099899,3.280503661491805,5.569165533382562,7.657995189701901,138.30880938402976,2.496512883185721]","__JSON__::[-0.7101636602742027,-1.3042142403278525,-0.5448585318735096,0.028994028226033704,-1.8294080246473086,-0.8739900778809251]","__JSON__::{""asy_b1"":5.010483906099899,""asy_b2"":3.280503661491805,""asy_b3"":5.569165533382562,""asy_b4"":7.657995189701901,""t0"":138.30880938402976,""g"":2.496512883185721}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""decision_time_ms"":138.30880938402976,""noise_gain"":2.496512883185721,""threshold_mode"":""participant_block_mean_abs_belief"",""asymptote_by_block_sidecar"":{""1"":5.010483906099899,""2"":3.280503661491805,""3"":5.569165533382562,""4"":7.657995189701901},""block_ids_sidecar"":[1,2,3,4],""block_param_order_sidecar"":[""asy_b1"",""asy_b2"",""asy_b3"",""asy_b4""],""block_params_used_in_scoring"":false}"
P03,ddm_dnm,2020020,120,40,4,1,1,0,3432.2546111971997,141.16736612813574,3291.0872450690636,"__JSON__::[3.088629084815352,547.6157541760477,2.153154815127513,-1.3653127499089948]","__JSON__::[1.1535873373631802,0.19104194241540035,0.7511515663512325,-0.4632127923263951]","__JSON__::{""a"":3.088629084815352,""t0"":547.6157541760477,""k_v"":2.153154815127513,""k_z"":-1.3653127499089948}","__JSON__::{""dt_ms"":1.0,""max_duration_ms"":5000.0,""boundary_a"":3.088629084815352,""non_decision_time_ms"":547.6157541760477,""llr_to_drift_scale"":2.153154815127513,""start_k"":-1.3653127499089948,""diffusion_sigma"":1.0}"
