block_id,trial_index,hazard_rate,noise_sigma,LLR,choice,correct_side,reaction_time_ms,belief_L,subjective_h_snapshot
2,38,0.3,0.2400,-13.992276,0,0,332,-13.948713,0.5110
2,39,0.3,0.2400,-7.423839,0,0,379,-7.379832,0.5110
2,40,0.3,0.2400,-8.668375,0,0,296,-8.624423,0.5110
3,1,0.1,0.2400,-4.509215,0,0,391,-4.509215,0.0010
3,2,0.1,0.2400,-5.009497,0,0,318,-8.820465,0.0010
3,3,0.1,0.2400,-8.777015,0,0,349,-13.262625,0.0010
3,4,0.1,0.2400,-9.552681,0,0,361,-14.051324,0.0010
3,5,0.1,0.2400,-10.632237,0,0,341,-15.130965,0.0010
3,6,0.1,0.2400,-9.712358,0,0,253,-14.211133,0.0010
3,7,0.1,0.2400,-15.625000,0,0,264,-20.123739,0.0010
3,8,0.1,0.2400,-5.430824,0,0,266,-9.929623,0.0010
3,9,0.1,0.2400,-7.120969,0,0,264,-11.615399,0.0010
3,10,0.1,0.2400,-15.625000,0,0,320,-20.122988,0.0010
3,11,0.1,0.2400,-15.625000,0,0,312,-20.123799,0.0010
3,12,0.1,0.2400,-12.716759,0,0,272,-17.215557,0.0010
3,13,0.1,0.2400,-7.518425,0,0,331,-12.017221,0.0010
3,14,0.1,0.2400,-14.890922,0,0,288,-19.389179,0.0010
3,15,0.1,0.2400,-6.789761,0,0,290,-11.288560,0.0010
3,16,0.1,0.2400,-2.977017,0,0,261,-7.474692,0.0010
3,17,0.1,0.2400,-12.055302,0,0,263,-16.504363,0.0010
3,18,0.1,0.2400,-10.263682,0,0,316,-14.762475,0.0010
3,19,0.1,0.2400,9.546930,1,1,417,5.048166,0.0310
3,20,0.1,0.2400,9.933285,1,1,377,13.976432,0.0310
3,21,0.1,0.2400,5.155407,1,1,327,9.654130,0.0310
3,22,0.1,0.2400,7.236577,1,1,315,11.729625,0.0310
3,23,0.1,0.2400,8.165405,1,1,284,12.663480,0.0310
3,24,0.1,0.2400,4.706404,1,1,304,9.204919,0.0310
3,25,0.1,0.2400,15.625000,1,1,301,20.114801,0.0310
3,26,0.1,0.2400,15.625000,1,1,363,20.123799,0.0310
3,27,0.1,0.2400,15.625000,1,1,332,20.123799,0.0310
3,28,0.1,0.2400,-10.091931,1,0,276,-5.593132,0.0010
3,29,0.1,0.2400,-10.733926,0,0,405,-14.944013,0.0010
3,30,0.1,0.2400,2.713739,1,1,362,-1.785031,0.0010
3,31,0.1,0.2400,15.625000,1,1,401,13.902286,0.0010
3,32,0.1,0.2400,6.873240,1,1,310,11.371957,0.0010
3,33,0.1,0.2400,7.623061,1,1,645,12.120826,0.0010
3,34,0.1,0.2400,3.157105,1,1,393,7.655415,0.0010
3,35,0.1,0.2400,10.942047,1,1,362,15.399163,0.0010
3,36,0.1,0.2400,-5.815297,0,0,411,-1.316517,0.0110
3,37,0.1,0.2400,-11.358951,0,0,383,-12.637792,0.0110
3,38,0.1,0.2400,-4.156943,0,0,326,-8.655450,0.0110
3,39,0.1,0.2400,-6.800345,0,0,293,-11.283607,0.0110
3,40,0.1,0.2400,-8.674533,0,0,318,-13.172202,0.0110
4,1,0.5,0.2400,-0.917696,0,0,607,-0.917696,0.0010
4,2,0.5,0.2400,-5.373610,0,0,359,-6.146303,0.0010
4,3,0.5,0.2400,-1.983925,0,0,331,-4.527884,0.0010
4,4,0.5,0.2400,-9.905521,0,0,367,-12.345556,0.0010
4,5,0.5,0.2400,-5.009326,0,0,326,-7.580698,0.0010
4,6,0.5,0.2400,-8.753677,0,0,324,-11.318491,0.0010
4,7,0.5,0.2400,-8.384756,0,0,302,-10.956027,0.0010
4,8,0.5,0.2400,-4.692403,0,0,302,-7.263605,0.0010
4,9,0.5,0.2400,13.881381,1,1,515,11.319024,0.0010
4,10,0.5,0.2400,7.324147,1,1,395,9.895418,0.0010
4,11,0.5,0.2400,-15.625000,0,0,558,-13.054227,0.0010
4,12,0.5,0.2400,9.543696,1,1,405,6.972295,0.0210
4,13,0.5,0.2400,-11.095432,0,0,337,-8.536124,0.0210
4,14,0.5,0.2400,12.253693,1,1,324,9.684813,0.0210
4,15,0.5,0.2400,15.625000,1,1,357,18.195620,0.0210
4,16,0.5,0.2400,-9.408956,0,0,449,-6.837527,0.0310
4,17,0.5,0.2400,12.436934,1,1,368,9.879362,0.0310
4,18,0.5,0.2400,-14.441693,0,0,345,-11.870930,0.0310
4,19,0.5,0.2400,-13.516283,0,0,378,-16.087621,0.0310
4,20,0.5,0.2400,9.821796,1,1,817,7.250368,0.0410
4,21,0.5,0.2400,11.354059,1,1,367,13.916296,0.0410
4,22,0.5,0.2400,2.897451,1,1,386,5.468868,0.0310
4,23,0.5,0.2400,4.467455,1,1,410,6.985509,0.0310
4,24,0.5,0.2400,10.819562,1,1,327,13.379028,0.0310
4,25,0.5,0.2400,13.378774,1,1,396,15.950182,0.0310
4,26,0.5,0.2400,-9.399662,0,0,367,-6.828235,0.0410
4,27,0.5,0.2400,14.824871,1,1,376,12.267428,0.0410
