block_id,trial_index,hazard_rate,noise_sigma,LLR,choice,correct_side,reaction_time_ms,belief_L,subjective_h_snapshot
1,1,0.05,0.4100,3.226995,1,1,3178,3.226995,0.0010
1,2,0.05,0.4100,-2.953524,0,1,9783,-2.307557,0.9910
1,3,0.05,0.4100,1.917467,1,1,1569,1.348992,0.9910
1,4,0.05,0.4100,1.525006,1,1,967,1.927806,0.5310
1,5,0.05,0.4100,1.917923,1,1,774,2.433343,0.4510
1,6,0.05,0.4100,5.353956,1,1,1029,5.936859,0.4410
1,7,0.05,0.4100,5.353956,1,1,985,6.053605,0.4410
1,8,0.05,0.4100,0.594862,1,1,706,1.294952,0.0810
1,9,0.05,0.4100,3.232391,1,1,123460,3.622565,0.0810
1,10,0.05,0.4100,3.439559,1,1,5754,4.103770,0.0710
1,11,0.05,0.4100,0.734078,1,1,1974,1.413055,0.0610
1,12,0.05,0.4100,2.836541,1,1,1481,3.253835,0.0510
1,13,0.05,0.4100,5.294251,1,1,4914,5.941676,0.0510
1,14,0.05,0.4100,2.354599,1,1,5408,3.054267,0.0510
1,15,0.05,0.4100,3.753973,1,1,580,4.389664,0.0510
1,16,0.05,0.4100,2.345472,1,1,355,3.030494,0.0510
1,17,0.05,0.4100,2.265176,1,1,849,2.899324,0.0510
1,18,0.05,0.4100,-0.442225,0,1,1419,0.182801,0.3310
1,19,0.05,0.4100,4.813038,1,1,3549,4.874673,0.3310
1,20,0.05,0.4100,5.038291,1,1,6910,5.730409,0.3310
1,21,0.05,0.4100,1.054018,1,1,1418,1.752750,0.3010
1,22,0.05,0.4100,3.388123,1,1,1088,3.873756,0.2910
1,23,0.05,0.4100,5.353956,1,1,21565,6.026709,0.2910
1,24,0.05,0.4100,0.717787,1,1,850,1.417780,0.2610
1,25,0.05,0.4100,5.022416,1,1,699,5.440759,0.2610
1,26,0.05,0.4100,5.353956,1,1,670,6.051039,0.2610
1,27,0.05,0.4100,-5.147871,0,0,910,-4.447790,0.2610
1,28,0.05,0.4100,-0.368008,0,0,1104,-1.054067,0.2310
1,29,0.05,0.4100,-1.169700,0,0,911,-1.499233,0.2110
1,30,0.05,0.4100,2.804743,1,0,6444,2.368760,0.2310
1,31,0.05,0.4100,-5.353956,0,0,909,-4.778280,0.2310
1,32,0.05,0.4100,-0.619063,0,0,1012,-1.310026,0.2110
1,33,0.05,0.4100,-3.334295,0,0,12610,-3.728027,0.2110
1,34,0.05,0.4100,-2.588615,0,0,1629,-3.256659,0.2010
1,35,0.05,0.4100,0.781390,1,0,730,0.133814,0.2810
1,36,0.05,0.4100,-5.353956,0,0,713,-5.308787,0.2710
1,37,0.05,0.4100,-3.285926,0,0,642,-3.982086,0.2710
1,38,0.05,0.4100,0.778371,1,0,682,0.102516,0.3310
1,39,0.05,0.4100,-5.353956,0,0,822,-5.319332,0.3310
1,40,0.05,0.4100,-4.549726,0,0,609,-5.245965,0.3310
2,1,0.1,0.4100,-1.409163,0,0,736,-1.409163,0.0010
2,2,0.1,0.4100,-5.353956,0,0,881,-6.647868,0.0010
2,3,0.1,0.4100,-0.524360,0,1,805,-3.926944,0.0010
2,4,0.1,0.4100,4.236247,1,1,848,1.273233,0.1110
2,5,0.1,0.4100,1.223392,1,1,562,2.397326,0.1010
2,6,0.1,0.4100,5.353956,1,1,693,7.452818,0.1010
2,7,0.1,0.4100,3.533470,1,1,534,6.957805,0.1010
2,8,0.1,0.4100,0.906646,1,0,625,4.319655,0.0810
2,9,0.1,0.4100,-0.740993,1,0,1225,2.353964,0.0510
2,10,0.1,0.4100,-1.841031,0,0,774,0.225700,0.0910
2,11,0.1,0.4100,2.097033,1,1,925,2.308632,0.0810
2,12,0.1,0.4100,3.243506,1,1,656,5.276275,0.0810
2,13,0.1,0.4100,0.756703,1,1,508,4.050919,0.0710
2,14,0.1,0.4100,5.353956,1,1,489,8.362356,0.0710
2,15,0.1,0.4100,-0.227382,1,1,1599,3.207631,0.0610
2,16,0.1,0.4100,2.004847,1,1,520,4.631081,0.0610
2,17,0.1,0.4100,4.411135,1,1,564,7.587839,0.0610
2,18,0.1,0.4100,5.353956,1,1,640,8.780539,0.0610
2,19,0.1,0.4100,0.639757,1,1,709,4.077246,0.0610
2,20,0.1,0.4100,2.879757,1,1,535,5.897340,0.0610
2,21,0.1,0.4100,0.649122,1,1,474,4.009117,0.0610
2,22,0.1,0.4100,-4.729901,1,0,489,-1.736407,0.0210
2,23,0.1,0.4100,-3.655983,0,0,1160,-5.231129,0.0210
2,24,0.1,0.4100,-5.353956,0,0,732,-8.641838,0.0210
2,25,0.1,0.4100,-3.556863,0,0,653,-6.993642,0.0210
2,26,0.1,0.4100,-5.353956,0,0,630,-8.767981,0.0210
2,27,0.1,0.4100,-2.434899,0,0,608,-5.872328,0.0210
2,28,0.1,0.4100,-1.645168,0,0,520,-5.003164,0.0210
2,29,0.1,0.4100,5.353956,1,1,1284,2.102043,0.0210
2,30,0.1,0.4100,4.903863,1,1,597,6.777281,0.0210
2,31,0.1,0.4100,3.649547,1,1,625,7.056866,0.0210
2,32,0.1,0.4100,1.940681,1,1,1314,5.356414,0.0210
2,33,0.1,0.4100,5.224597,1,1,744,8.529467,0.0210
2,34,0.1,0.4100,0.308859,1,1,1733,3.744987,0.0210
2,35,0.1,0.4100,4.507985,1,1,685,7.397815,0.0210
2,36,0.1,0.4100,4.861194,1,1,593,8.284523,0.0210
2,37,0.1,0.4100,-3.227058,0,1,45520,0.207369,0.0410
2,38,0.1,0.4100,-1.137463,0,1,713,-0.943035,0.0410
2,39,0.1,0.4100,0.477975,1,1,747,-0.398495,0.0310
2,40,0.1,0.4100,3.099226,1,1,519,2.726036,0.0310
3,1,0.3,0.4100,1.187286,1,0,698,1.187286,0.0010
3,2,0.3,0.4100,-5.353956,0,0,998,-4.472390,0.9910
3,3,0.3,0.4100,-5.353956,0,0,805,-7.348429,0.3910
3,4,0.3,0.4100,-5.353956,0,0,700,-7.429462,0.2710
3,5,0.3,0.4100,2.225703,1,1,865,0.149804,0.7810
3,6,0.3,0.4100,1.415193,1,1,747,1.531655,0.4410
3,7,0.3,0.4100,-0.287975,0,1,622,0.814423,0.5810
3,8,0.3,0.4100,1.409041,1,1,610,2.028932,0.6010
3,9,0.3,0.4100,1.962525,1,1,610,3.340077,0.5610
3,10,0.3,0.4100,1.723602,1,1,549,3.558764,0.5110
3,11,0.3,0.4100,5.046169,1,1,558,6.924859,0.5110
3,12,0.3,0.4100,1.275118,1,1,431,3.347965,0.4310
3,13,0.3,0.4100,4.639804,1,1,519,6.476670,0.4210
3,14,0.3,0.4100,-2.350907,1,0,491,-0.282398,0.0710
3,15,0.3,0.4100,-2.326622,0,0,877,-2.545752,0.0910
3,16,0.3,0.4100,-1.265680,0,0,414,-2.868626,0.0810
3,17,0.3,0.4100,5.353956,0,1,462,3.641143,0.0510
3,18,0.3,0.4100,4.451861,1,1,113,6.345064,0.0510
3,19,0.3,0.4100,-3.170420,0,0,850,-1.103595,0.0710
3,20,0.3,0.4100,4.916102,1,1,954,4.091436,0.0710
3,21,0.3,0.4100,0.581431,1,1,1345,2.538444,0.0710
3,22,0.3,0.4100,5.211775,1,1,714,6.811967,0.0710
3,23,0.3,0.4100,3.049696,1,1,611,5.121625,0.0710
3,24,0.3,0.4100,-4.341324,0,0,1012,-2.306690,0.0710
3,25,0.3,0.4100,-0.288776,0,0,685,-1.795237,0.0710
3,26,0.3,0.4100,-5.353956,0,0,653,-6.609094,0.0710
3,27,0.3,0.4100,-1.965447,0,0,610,-4.035444,0.0710
3,28,0.3,0.4100,2.394558,1,1,894,0.444201,0.0910
3,29,0.3,0.4100,5.353956,1,1,13570,5.697305,0.0910
3,30,0.3,0.4100,3.464969,1,1,656,5.519439,0.0910
3,31,0.3,0.4100,1.054911,1,1,1165,3.104382,0.0910
3,32,0.3,0.4100,-1.724342,0,0,1824,0.054897,0.1210
3,33,0.3,0.4100,-5.353956,0,0,790,-5.311250,0.1210
3,34,0.3,0.4100,-2.071553,0,0,837,-4.113967,0.1210
3,35,0.3,0.4100,-0.290645,0,1,787,-2.250246,0.1210
3,36,0.3,0.4100,-5.353956,0,0,732,-6.835692,0.1210
3,37,0.3,0.4100,-0.254512,0,1,684,-2.326643,0.1110
3,38,0.3,0.4100,-2.897962,0,0,700,-4.412986,0.1110
3,39,0.3,0.4100,-5.353956,0,0,701,-7.343401,0.1110
3,40,0.3,0.4100,-5.353956,0,0,587,-7.429437,0.1110
4,1,0.5,0.4100,4.135960,1,1,783,4.135960,0.0010
4,2,0.5,0.4100,1.318223,1,1,700,1.912347,0.0010
4,3,0.5,0.4100,4.283771,1,1,775,4.733783,0.0010
4,4,0.5,0.4100,0.392906,1,1,790,0.996169,0.0010
4,5,0.5,0.4100,0.915730,1,1,685,1.191997,0.0010
4,6,0.5,0.4100,1.406115,1,0,520,1.727227,0.0010
4,7,0.5,0.4100,0.803872,0,1,1854,1.226112,0.3310
4,8,0.5,0.4100,-4.657644,0,0,835,-4.329141,0.3310
4,9,0.5,0.4100,-4.808690,0,0,581,-5.406363,0.3310
4,10,0.5,0.4100,-3.867973,0,0,848,-4.476780,0.3310
4,11,0.5,0.4100,3.054955,1,1,895,2.454983,0.3610
4,12,0.5,0.4100,1.744219,1,1,595,2.256904,0.3310
4,13,0.5,0.4100,3.172887,1,0,654,3.665675,0.3310
4,14,0.5,0.4100,1.543522,1,1,655,2.125686,0.3010
4,15,0.5,0.4100,0.774145,1,1,656,1.251935,0.2710
4,16,0.5,0.4100,5.353956,1,1,529,5.687967,0.2710
4,17,0.5,0.4100,-3.013439,0,0,939,-2.403205,0.2910
4,18,0.5,0.4100,2.564866,1,1,803,2.057080,0.3010
4,19,0.5,0.4100,1.295361,1,1,722,1.764690,0.2910
4,20,0.5,0.4100,4.879399,1,1,624,5.307547,0.2910
4,21,0.5,0.4100,5.353956,1,1,566,5.962160,0.2910
4,22,0.5,0.4100,0.690933,1,0,1239,1.302222,0.2610
4,23,0.5,0.4100,-1.240070,0,0,1135,-0.895541,0.3010
4,24,0.5,0.4100,-2.953982,0,0,668,-3.205660,0.3010
4,25,0.5,0.4100,3.749239,1,1,895,3.185177,0.3110
4,26,0.5,0.4100,4.078283,1,1,580,4.641347,0.3110
4,27,0.5,0.4100,-4.902201,0,0,865,-4.300028,0.3110
4,28,0.5,0.4100,0.596803,0,1,1869,-0.000377,0.2610
4,29,0.5,0.4100,5.353956,1,1,893,5.353844,0.2610
4,30,0.5,0.4100,-2.964141,0,0,821,-2.355648,0.2810
4,31,0.5,0.4100,0.732603,1,1,1271,0.229502,0.3110
4,32,0.5,0.4100,-2.374860,0,0,954,-2.306741,0.3010
4,33,0.5,0.4100,1.539819,1,1,999,1.041725,0.3310
4,34,0.5,0.4100,5.197843,1,1,714,5.484904,0.3310
4,35,0.5,0.4100,3.732736,1,1,578,4.341982,0.3310
