model_name,surrogate_id,param_name,true_value,recovered_value,error
cont_threshold,cont_threshold_s000,thr_b1,10.265727949118748,10.19355463494428,-0.07217331417446893
cont_threshold,cont_threshold_s000,thr_b2,2.9210680795084114,11.294771153197312,8.373703073688901
cont_threshold,cont_threshold_s000,thr_b3,2.938393308160231,8.875648117915503,5.937254809755272
cont_threshold,cont_threshold_s000,thr_b4,12.542393616136552,13.679136399637294,1.1367427835007415
cont_threshold,cont_threshold_s000,t0,905.3838268025393,645.9741855180694,-259.4096412844699
cont_threshold,cont_threshold_s000,g,4.752268509094465,3.376177851313826,-1.3760906577806393
cont_asymptote,cont_asymptote_s000,asy_b1,13.648961440620264,10.36916616113845,-3.2797952794818137
cont_asymptote,cont_asymptote_s000,asy_b2,4.792024177052289,4.8530588123640355,0.06103463531174658
cont_asymptote,cont_asymptote_s000,asy_b3,13.456627724391229,5.999876710321603,-7.456751014069626
cont_asymptote,cont_asymptote_s000,asy_b4,6.864582125884983,9.842987243532871,2.9784051176478883
cont_asymptote,cont_asymptote_s000,t0,5.330433384098887,218.85683374608055,213.52640036198167
cont_asymptote,cont_asymptote_s000,g,5.523535832524788,3.8400073650370956,-1.683528467487692
ddm_dnm,ddm_dnm_s000,a,2.971909636220743,2.646039140191428,-0.32587049602931506
ddm_dnm,ddm_dnm_s000,t0,990.3082265581644,677.9462138299369,-312.36201272822746
ddm_dnm,ddm_dnm_s000,k_v,-5.1042963788788,-1.952331968511107,3.151964410367693
ddm_dnm,ddm_dnm_s000,k_z,5.777126023132025,0.01564281910838261,-5.761483204023643
