model_name,param_name,n_pairs,mae,bias,pearson_r,spearman_rho
cont_threshold,thr_b1,1,0.07217331417446893,-0.07217331417446893,,
cont_threshold,thr_b2,1,8.373703073688901,8.373703073688901,,
cont_threshold,thr_b3,1,5.937254809755272,5.937254809755272,,
cont_threshold,thr_b4,1,1.1367427835007415,1.1367427835007415,,
cont_threshold,t0,1,259.4096412844699,-259.4096412844699,,
cont_threshold,g,1,1.3760906577806393,-1.3760906577806393,,
cont_asymptote,asy_b1,1,3.2797952794818137,-3.2797952794818137,,
cont_asymptote,asy_b2,1,0.06103463531174658,0.06103463531174658,,
cont_asymptote,asy_b3,1,7.456751014069626,-7.456751014069626,,
cont_asymptote,asy_b4,1,2.9784051176478883,2.9784051176478883,,
cont_asymptote,t0,1,213.52640036198167,213.52640036198167,,
cont_asymptote,g,1,1.683528467487692,-1.683528467487692,,
ddm_dnm,a,1,0.32587049602931506,-0.32587049602931506,,
ddm_dnm,t0,1,312.36201272822746,-312.36201272822746,,
ddm_dnm,k_v,1,3.151964410367693,3.151964410367693,,
ddm_dnm,k_z,1,5.761483204023643,-5.761483204023643,,
