surrogate_id,generating_model_name,candidate_model_name,joint_score,choice_only_score,rt_only_cond_score,bic_score,n_trials,n_params,fit_seed,best_theta,best_eta,best_named_params
cont_threshold_s000,cont_threshold,cont_threshold,18654.311495991366,6813.117909997295,11841.193585994071,37345.35794883982,456,6,1097657231,"__JSON__::[10.19355463494428,11.294771153197312,8.875648117915503,13.679136399637294,645.9741855180694,3.376177851313826]","__JSON__::[0.7419392636119267,1.105701784106887,0.35970769055386154,2.330248761187957,0.6013897097453988,-0.37554312763446035]","__JSON__::{""thr_b1"":10.19355463494428,""thr_b2"":11.294771153197312,""thr_b3"":8.875648117915503,""thr_b4"":13.679136399637294,""t0"":645.9741855180694,""g"":3.376177851313826}"
cont_threshold_s000,cont_threshold,cont_asymptote,12119.809455189188,66.65261815917525,12053.156837030012,24276.353867235463,456,6,1097688568,"__JSON__::[6.059507629930119,7.341498403393019,10.473129316933738,10.820330310181014,615.6849945788769,6.06453925626091]","__JSON__::[-0.40560279738391014,-0.05598820381900228,0.8291878407143278,0.9419097458449546,0.47127291737990357,1.108578512239873]","__JSON__::{""asy_b1"":6.059507629930119,""asy_b2"":7.341498403393019,""asy_b3"":10.473129316933738,""asy_b4"":10.820330310181014,""t0"":615.6849945788769,""g"":6.06453925626091}"
cont_threshold_s000,cont_threshold,ddm_dnm,22864.764536408373,10306.688582770134,12558.07595363824,45754.0190440548,456,4,1097719905,"__JSON__::[1.42413047875259,441.4556241672186,-1.1000037084701404,-2.0775089445280868]","__JSON__::[-0.7439563765728058,-0.23525656725844152,-0.3708608580812178,-0.7223566007452077]","__JSON__::{""a"":1.42413047875259,""t0"":441.4556241672186,""k_v"":-1.1000037084701404,""k_z"":-2.0775089445280868}"
cont_asymptote_s000,cont_asymptote,cont_threshold,19276.596973730942,6878.211923006778,12398.385050724166,38589.92890431897,456,6,87989972,"__JSON__::[11.732625893875166,13.956557950920883,10.138334258783946,3.970587673256967,648.7284225353368,3.681551500340862]","__JSON__::[1.2698270906149878,2.5862337079790674,0.7250300657243302,-1.0471592032444048,0.6134545246002739,-0.2154181662876201]","__JSON__::{""thr_b1"":11.732625893875166,""thr_b2"":13.956557950920883,""thr_b3"":10.138334258783946,""thr_b4"":3.970587673256967,""t0"":648.7284225353368,""g"":3.681551500340862}"
cont_asymptote_s000,cont_asymptote,cont_asymptote,10924.713177048978,326.02875750416854,10598.68441954481,21886.16131095504,456,6,88021309,"__JSON__::[10.36916616113845,4.8530588123640355,5.999876710321603,9.842987243532871,218.85683374608055,3.8400073650370956]","__JSON__::[0.7964088822647208,-0.7583839279548044,-0.4223068219578688,0.6361902804592702,-1.2723406556480126,-0.13352759882155352]","__JSON__::{""asy_b1"":10.36916616113845,""asy_b2"":4.8530588123640355,""asy_b3"":5.999876710321603,""asy_b4"":9.842987243532871,""t0"":218.85683374608055,""g"":3.8400073650370956}"
cont_asymptote_s000,cont_asymptote,ddm_dnm,13845.960020154445,1532.275296433797,12313.68472372065,27716.41001154695,456,4,88052646,"__JSON__::[3.030816975237625,537.4804119025404,1.2756070306512264,-2.915212606995576]","__JSON__::[1.0718671587067663,0.1502034076669506,0.4317881696189612,-1.0612763606491444]","__JSON__::{""a"":3.030816975237625,""t0"":537.4804119025404,""k_v"":1.2756070306512264,""k_z"":-2.915212606995576}"
ddm_dnm_s000,ddm_dnm,cont_threshold,23270.076723252725,10713.610207526925,12556.466515725799,46576.888403362536,456,6,376383645,"__JSON__::[7.618599860745539,10.563663062820961,11.173053436470715,10.862816255465496,202.92491170223235,3.2304982250683096]","__JSON__::[0.01841659051196894,0.8580795727586645,1.0624472952114405,0.9560819528511594,-1.3681128705038592,-0.45351481302550134]","__JSON__::{""thr_b1"":7.618599860745539,""thr_b2"":10.563663062820961,""thr_b3"":11.173053436470715,""thr_b4"":10.862816255465496,""t0"":202.92491170223235,""g"":3.2304982250683096}"
ddm_dnm_s000,ddm_dnm,cont_asymptote,21766.840255801988,9255.906648142554,12510.933607659434,43570.41546846106,456,6,376414982,"__JSON__::[7.430789633777683,5.453894723093931,13.414122876198988,9.054213807969484,388.120569728325,3.5364150071307097]","__JSON__::[-0.03200551467730923,-0.5783089652219612,2.1276876975570684,0.40944147237710427,-0.45521921566942725,-0.29105537383380187]","__JSON__::{""asy_b1"":7.430789633777683,""asy_b2"":5.453894723093931,""asy_b3"":13.414122876198988,""asy_b4"":9.054213807969484,""t0"":388.120569728325,""g"":3.5364150071307097}"
ddm_dnm_s000,ddm_dnm,ddm_dnm,13376.276059401756,1606.8918351243178,11769.384224277439,26777.04209004157,456,4,376446319,"__JSON__::[2.646039140191428,677.9462138299369,-1.952331968511107,0.01564281910838261]","__JSON__::[0.5914357718620458,0.7443493847688668,-0.6753242944351354,0.0052142848502598985]","__JSON__::{""a"":2.646039140191428,""t0"":677.9462138299369,""k_v"":-1.952331968511107,""k_z"":0.01564281910838261}"
