participant_id,block_id,winner_model_name,n_trials,n_timeout_predictions,timeout_rate,observed_choice_rate,predicted_choice_rate,choice_accuracy_excluding_timeout,mean_observed_rt_ms,mean_predicted_rt_ms,mae_rt_ms,mean_observed_belief_L,mean_predicted_belief,mae_belief,mean_H
P01,1,cont_asymptote,32,5,0.15625,0.3125,0.6666666666666666,0.6666666666666666,1241.46875,2499.7499999999127,1783.40624999992,0.9618207187500001,1.0478863729167882,1.4178268237849596,0.264125
P01,2,cont_asymptote,39,7,0.1794871794871795,0.4358974358974359,0.75,0.75,760.2051282051282,2442.4871794870965,1788.589743589661,2.0403311282051284,0.8935282856262279,2.20082167850472,0.04587179487179485
P01,3,cont_asymptote,38,2,0.05263157894736842,-0.10526315789473684,0.4444444444444444,0.4166666666666667,756.5,2611.9999999998845,1912.6578947367263,-0.5298097368421052,-0.4099548831632215,1.977807129155051,0.23021052631578956
P01,4,cont_asymptote,40,11,0.275,0.2,0.6206896551724138,0.6206896551724138,835.2,3249.8749999999004,2414.6749999999,0.716215175,1.2842588588379897,1.7039919562746504,0.267
P02,1,cont_asymptote,27,0,0.0,0.4074074074074074,0.7407407407407407,0.7037037037037037,405.3703703703704,1440.7407407406852,1035.3703703703152,3.294499703703704,1.9184087956101161,4.826987975544378,0.2147037037037037
P02,2,cont_asymptote,40,0,0.0,0.1,0.55,0.55,435.925,1103.1999999999762,687.1749999999762,-0.19730450000000013,-0.477842258857973,5.555865585993943,0.4035
P02,3,cont_asymptote,40,0,0.0,0.9,0.95,0.95,408.375,1204.2999999999643,795.9249999999644,8.607526775,6.068831954952005,3.932970503266265,0.12575000000000003
P02,4,cont_asymptote,40,0,0.0,0.0,0.5,0.5,406.95,1047.9749999999767,641.0249999999767,-0.2734652500000001,-1.7278886697864835,4.412311799007199,0.1915
P03,1,cont_asymptote,40,2,0.05,-0.65,0.13157894736842105,0.13157894736842105,568.775,1388.7999999999647,832.1749999999647,-8.233986075,-5.408507635122844,3.977738141106273,0.01225
P03,2,cont_asymptote,40,1,0.025,-0.2,0.38461538461538464,0.38461538461538464,422.45,1315.5749999999668,919.5749999999668,-1.8463589249999999,0.14651398336220903,4.795081448878383,0.45474999999999993
P03,3,cont_asymptote,40,1,0.025,-0.2,0.358974358974359,0.358974358974359,334.125,1135.699999999976,801.574999999976,-3.4213066999999997,-2.7843024275006023,5.6925982968763105,0.009
P03,4,cont_asymptote,40,1,0.025,0.15,0.5897435897435898,0.5897435897435898,398.775,1380.7749999999592,981.9999999999593,2.4351218250000004,0.31334388726241447,3.8548104878930376,0.03
