row_id,participant_id,block_id,trial_index,split,winner_model_name,choice,correct_side,predicted_decision,predicted_choice_binary,predicted_timeout,choice_match_excluding_timeout,reaction_time_ms,predicted_rt_ms,belief_L,predicted_belief,H,LLR
44,P01,2,5,TRAIN,cont_asymptote,1,1,0,,1,,562.0,5000.000000000005,2.397326,2.4938464659944666,0.101,1.223392
45,P01,2,6,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,693.0,1451.999999999951,7.452818,3.9668610813133003,0.101,5.353956
46,P01,2,7,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,534.0,1895.999999999902,6.957805,3.5521818505446956,0.101,3.53347
47,P01,2,8,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,625.0,789.0000000000006,4.319655,2.420768976762266,0.081,0.906646
48,P01,2,9,TRAIN,cont_asymptote,1,0,0,,1,,1225.0,5000.000000000005,2.353964,-1.40285199261448,0.051,-0.740993
49,P01,2,10,TRAIN,cont_asymptote,-1,0,0,,1,,774.0,5000.000000000005,0.2257,-3.0017462430451256,0.091,-1.841031
50,P01,2,11,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,925.0,4140.999999999717,2.308632,3.252066459223945,0.081,2.097033
51,P01,2,12,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,656.0,2294.999999999858,5.276275,3.6869006581921315,0.081,3.243506
52,P01,2,13,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,508.0,656.0000000000005,4.050919,2.4526096938417745,0.071,0.756703
53,P01,2,14,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,489.0,1349.999999999962,8.362356,4.318768415432924,0.071,5.353956
54,P01,2,15,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1599.0,656.0000000000005,3.207631,2.1329008555434146,0.061,-0.227382
55,P01,2,16,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,520.0,3259.999999999752,4.631081,3.4898827654533475,0.061,2.004847
56,P01,2,17,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,564.0,1568.999999999938,7.587839,4.27693699704976,0.061,4.411135
57,P01,2,18,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,640.0,1297.999999999968,8.780539,4.470378033897844,0.061,5.353956
58,P01,2,19,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,709.0,656.0000000000005,4.077246,2.586052298836422,0.061,0.639757
59,P01,2,20,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,535.0,2289.999999999859,5.89734,3.8511826714518658,0.061,2.879757
60,P01,2,21,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,474.0,656.0000000000005,4.009117,2.568648103872132,0.061,0.649122
61,P01,2,22,TRAIN,cont_asymptote,1,0,-1,0.0,0,0.0,489.0,2905.999999999791,-1.736407,-5.411754530544068,0.021,-4.729901
62,P01,2,23,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,1160.0,2395.999999999847,-5.231129,-5.154481171974566,0.021,-3.655983
63,P01,2,24,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,732.0,1296.999999999968,-8.641838,-5.535552962179705,0.021,-5.353956
64,P01,2,25,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,653.0,1754.9999999999175,-6.993642,-5.127027108860407,0.021,-3.556863
65,P01,2,26,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,630.0,1256.9999999999723,-8.767981,-5.53555764744907,0.021,-5.353956
66,P01,2,27,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,608.0,2360.999999999851,-5.872328,-4.748459645831838,0.021,-2.434899
67,P01,2,28,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,520.0,3235.9999999997544,-5.003164,-4.356879705499708,0.021,-1.645168
68,P01,2,29,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1284.0,2644.99999999982,2.102043,5.535558271656376,0.021,5.353956
69,P01,2,30,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,597.0,1769.9999999999159,6.777281,5.447846578064231,0.021,4.903863
